"Date","Price","Open","High","Low","Vol.","Change %"
"06/28/2023","58,828.76","59,132.60","59,242.66","58,797.92","","-0.32%"
"06/27/2023","59,016.06","59,431.54","59,663.27","59,055.63","","-0.44%"
"06/26/2023","59,277.97","59,460.74","59,841.11","59,272.91","","0.06%"
"06/23/2023","59,244.03","59,182.02","59,856.41","59,055.23","","0.34%"
"06/22/2023","59,042.25","59,716.13","59,835.61","59,101.50","","-0.96%"
"06/21/2023","59,614.23","59,848.04","59,982.40","59,307.77","","-0.19%"
"06/20/2023","59,725.29","60,282.69","60,546.42","59,629.91","","-0.72%"
"06/19/2023","60,161.20","60,502.09","60,628.63","60,187.03","","-0.35%"
"06/16/2023","60,373.14","60,501.02","60,811.17","60,360.67","","-0.02%"
"06/15/2023","60,385.48","60,028.52","60,574.61","59,437.70","","0.79%"
"06/14/2023","59,914.12","60,061.25","60,576.53","59,915.10","","-0.06%"
"06/13/2023","59,947.41","60,498.70","60,909.35","59,945.86","","-0.72%"
"06/12/2023","60,383.24","60,571.74","60,873.75","60,217.96","","-0.49%"
"06/09/2023","60,680.17","60,912.59","61,067.19","60,560.66","","-0.36%"
"06/08/2023","60,902.02","60,042.36","60,986.80","59,935.21","","1.46%"
"06/07/2023","60,027.02","60,672.57","60,979.55","60,036.56","","-0.88%"
"06/06/2023","60,558.24","60,440.73","60,821.14","60,338.50","","0.40%"
"06/05/2023","60,314.26","60,180.71","60,622.57","59,811.20","","0.38%"
"06/02/2023","60,083.15","61,109.99","61,290.63","60,182.93","","-1.50%"
